Customer_ID,CIBIL_Score,Loan_Issued,Loan_Issue_Date
Z000001,711,TRUE,11-12-2024
Z000002,712,TRUE,08-01-2025
Z000003,772,TRUE,22-12-2024
Z000004,760,TRUE,06-04-2024
Z000005,633,TRUE,17-04-2024
Z000006,621,TRUE,05-10-2024
Z000007,657,TRUE,04-05-2024
Z000008,657,TRUE,31-10-2024
Z000009,702,TRUE,21-05-2024
Z000010,702,TRUE,04-06-2024
Z000011,766,TRUE,16-09-2024
Z000012,641,TRUE,18-05-2024
Z000013,491,TRUE,08-10-2024
Z000014,641,TRUE,28-08-2024
Z000015,668,TRUE,15-02-2025
Z000016,637,TRUE,01-10-2024
Z000017,699,TRUE,15-02-2025
Z000018,705,TRUE,19-02-2025
Z000019,694,TRUE,26-01-2025
Z000020,635,TRUE,28-01-2025
Z000021,719,TRUE,20-06-2024
Z000022,795,TRUE,06-02-2025
Z000023,724,TRUE,02-06-2024
Z000024,688,TRUE,02-11-2024
Z000025,424,TRUE,12-05-2024
Z000026,738,TRUE,09-03-2025
Z000027,695,TRUE,16-09-2024
Z000028,705,TRUE,10-01-2025
Z000029,644,TRUE,05-06-2024
Z000030,731,TRUE,12-04-2024
Z000031,706,TRUE,06-06-2024
Z000032,661,TRUE,21-07-2024
Z000033,708,TRUE,28-07-2024
Z000034,679,TRUE,27-07-2024
Z000035,761,TRUE,01-05-2024
Z000036,683,TRUE,03-02-2025
Z000037,708,TRUE,05-01-2025
Z000038,797,TRUE,07-08-2024
Z000039,546,TRUE,11-09-2024
Z000040,727,TRUE,28-05-2024
Z000041,691,TRUE,15-06-2024
Z000042,679,TRUE,16-06-2024
Z000043,774,TRUE,30-12-2024
Z000044,635,TRUE,13-12-2024
Z000045,651,TRUE,13-02-2025
Z000046,652,TRUE,20-06-2024
Z000047,677,TRUE,02-02-2025
Z000048,688,TRUE,14-01-2025
Z000049,595,TRUE,18-10-2024
Z000050,613,TRUE,24-05-2024
Z000051,583,TRUE,11-02-2025
Z000052,689,TRUE,17-07-2024
Z000053,633,TRUE,02-05-2024
Z000054,745,TRUE,08-02-2025
