Customer_ID,Approval_Date,Disbursal_Date
CUSTA00001,2024-06-14,2024-06-15
CUSTA00002,2024-11-06,2024-11-07
CUSTA00003,2024-12-12,2024-12-13
CUSTA00004,2025-01-08,2025-01-09
CUSTA00005,2025-03-05,2025-03-06
CUSTA00006,2025-01-15,2025-01-16
CUSTA00007,2024-10-24,2024-10-25
CUSTA00008,2024-09-09,2024-09-10
CUSTA00009,2024-08-16,2024-08-17
CUSTA00010,2025-01-04,2025-01-05
CUSTA00011,2024-07-27,2024-07-28
CUSTA00012,2025-01-02,2025-01-03
CUSTA00013,2024-12-12,2024-12-13
CUSTA00014,2024-12-17,2024-12-18
CUSTA00015,2024-11-07,2024-11-08
CUSTA00016,2024-09-07,2024-09-08
CUSTA00017,2024-05-06,2024-05-07
CUSTA00018,2024-04-14,2024-04-15
CUSTA00019,2025-02-23,2025-02-24
CUSTA00020,2024-09-16,2024-09-17
CUSTA00021,2024-10-23,2024-10-24
CUSTA00022,2025-02-21,2025-02-22
CUSTA00023,2025-03-20,2025-03-21
CUSTA00024,2025-01-03,2025-01-04
CUSTA00025,2024-07-14,2024-07-15
CUSTA00026,2024-05-27,2024-05-28
CUSTA00027,2024-11-23,2024-11-24
CUSTA00028,2024-04-08,2024-04-09
CUSTA00029,2025-03-30,2025-03-31
CUSTA00030,2024-10-21,2024-10-22
CUSTA00031,2025-02-24,2025-02-25
CUSTA00032,2024-04-29,2024-04-30
CUSTA00033,2025-01-24,2025-01-25
CUSTA00034,2024-04-03,2024-04-04
CUSTA00035,2024-10-09,2024-10-10
CUSTA00036,2024-05-11,2024-05-12
CUSTA00037,2025-02-18,2025-02-19
CUSTA00038,2024-12-15,2024-12-16
CUSTA00039,2024-06-03,2024-06-04
CUSTA00040,2025-01-07,2025-01-08
CUSTA00041,2024-09-17,2024-09-18
CUSTA00042,2024-09-04,2024-09-05
CUSTA00043,2024-11-01,2024-11-02
CUSTA00044,2024-04-19,2024-04-20
CUSTA00045,2025-01-01,2025-01-02
CUSTA00046,2024-11-06,2024-11-07
CUSTA00047,2024-07-19,2024-07-20
CUSTA00048,2025-01-31,2025-02-01
CUSTA00049,2025-01-22,2025-01-23
CUSTA00050,2025-03-28,2025-03-29
CUSTA00051,2024-07-28,2024-07-29
CUSTA00052,2025-01-29,2025-01-30
CUSTA00053,2024-12-27,2024-12-28
CUSTA00054,2024-11-10,2024-11-11
CUSTA00055,2025-03-06,2025-03-08
CUSTA00056,2024-11-21,2024-11-22
CUSTA00057,2024-08-27,2024-08-28
CUSTA00058,2024-08-17,2024-08-18
CUSTA00059,2024-06-12,2024-06-13
CUSTA00060,2024-08-12,2024-08-13
CUSTA00061,2024-04-05,2024-04-06
CUSTA00062,2024-07-28,2024-07-29
CUSTA00063,2024-08-28,2024-08-29
CUSTA00064,2024-10-18,2024-10-19
CUSTA00065,2024-07-27,2024-07-28
CUSTA00066,2024-05-22,2024-05-23
CUSTA00067,2024-06-02,2024-06-03
CUSTA00068,2024-09-04,2024-09-05
CUSTA00069,2025-03-06,2025-03-07
CUSTA00070,2024-06-03,2024-06-04
CUSTA00071,2024-08-23,2024-08-24
CUSTA00072,2024-10-24,2024-10-25
CUSTA00073,2024-09-23,2024-09-24
CUSTA00074,2025-02-08,2025-02-09
CUSTA00075,2024-04-05,2024-04-06
CUSTA00076,2024-12-08,2024-12-09
CUSTA00077,2024-11-20,2024-11-21
CUSTA00078,2024-11-03,2024-11-04
CUSTA00079,2024-11-01,2024-11-02
CUSTA00080,2024-04-27,2024-04-28
CUSTA00081,2025-03-30,2025-03-31
CUSTA00082,2024-04-05,2024-04-06
CUSTA00083,2024-06-13,2024-06-14
CUSTA00084,2025-03-01,2025-03-02
CUSTA00085,2024-12-18,2024-12-24
CUSTA00086,2024-06-15,2024-06-16
CUSTA00087,2025-03-20,2025-03-21
CUSTA00088,2024-04-09,2024-04-10
CUSTA00089,2024-06-08,2024-06-09
CUSTA00090,2025-03-01,2025-03-02
CUSTA00091,2024-05-10,2024-05-11
CUSTA00092,2025-03-23,2025-03-24
CUSTA00093,2024-09-26,2024-09-27
CUSTA00094,2024-04-23,2024-04-24
CUSTA00095,2025-03-16,2025-03-17
CUSTA00096,2025-02-21,2025-02-22
CUSTA00097,2024-11-08,2024-11-09
CUSTA00098,2024-04-28,2024-04-29
CUSTA00099,2024-04-16,2024-04-17
CUSTA00100,2024-10-28,2024-10-29
CUSTA00101,2024-05-18,2024-05-19
CUSTA00102,2025-03-16,2025-03-17
CUSTA00103,2025-01-27,2025-01-28
CUSTA00104,2024-10-10,2024-10-11
CUSTA00105,2025-02-08,2025-02-09
CUSTA00106,2024-09-29,2024-09-30
CUSTA00107,2024-10-02,2024-10-03
CUSTA00108,2024-05-18,2024-05-19
CUSTA00109,2024-08-08,2024-08-09
CUSTA00110,2024-08-28,2024-08-29
CUSTA00111,2024-09-16,2024-09-17
CUSTA00112,2024-11-03,2024-11-04
CUSTA00113,2025-01-08,2025-01-09
