Customer_ID,Annual_Income,Employment_Type
CUSTB00001,629656.0,Self Employed
CUSTB00002,298738.0,Salaried
CUSTB00003,451070.0,Salaried
CUSTB00004,220517.0,Self Employed
CUSTB00005,222028.0,Self Employed
CUSTB00006,367761.0,Salaried
CUSTB00007,669979.0,Salaried
CUSTB00008,527989.0,Salaried
CUSTB00009,486410.0,Salaried
CUSTB00010,774032.0,Self Employed
CUSTB00011,553672.0,Self Employed
CUSTB00012,247654.0,Salaried
CUSTB00013,299470.0,Salaried
CUSTB00014,423197.0,Salaried
CUSTB00015,399611.0,Self Employed
CUSTB00016,690127.0,Salaried
CUSTB00017,211641.0,Salaried
CUSTB00018,641834.0,Self Employed
CUSTB00019,658914.0,Salaried
CUSTB00020,542461.0,Salaried
CUSTB00021,294142.0,Self Employed
CUSTB00022,423951.0,Salaried
CUSTB00023,781562.0,Salaried
CUSTB00024,713418.0,Self Employed
CUSTB00025,775405.0,Salaried
CUSTB00026,222037.0,Self Employed
CUSTB00027,639335.0,Self Employed
CUSTB00028,428845.0,Self Employed
CUSTB00029,356820.0,Salaried
CUSTB00030,634208.0,Self Employed
CUSTB00031,221751.0,Self Employed
CUSTB00032,621619.0,Salaried
CUSTB00033,276236.0,Salaried
CUSTB00034,298643.0,Salaried
CUSTB00035,402138.0,Self Employed
CUSTB00036,385682.0,Salaried
CUSTB00037,588653.0,Salaried
CUSTB00038,377706.0,Self Employed
CUSTB00039,411684.0,Self Employed
CUSTB00040,430707.0,Self Employed
CUSTB00041,527285.0,Salaried
CUSTB00042,782479.0,Self Employed
CUSTB00043,293503.0,Salaried
CUSTB00044,582443.0,Self Employed
CUSTB00045,629655.0,Salaried
CUSTB00046,461892.0,Self Employed
CUSTB00047,349575.0,Self Employed
CUSTB00048,657713.0,Salaried
CUSTB00049,252460.0,Self Employed
CUSTB00050,512761.0,Self Employed
CUSTB00051,528017.0,Self Employed
CUSTB00052,431849.0,Self Employed
CUSTB00053,639470.0,Self Employed
CUSTB00054,458256.0,Salaried
CUSTB00055,349625.0,Self Employed
CUSTB00056,266193.0,Self Employed
CUSTB00057,377907.0,Self Employed
CUSTB00058,488160.0,Self Employed
CUSTB00059,733976.0,Salaried
CUSTB00060,252876.0,Salaried
CUSTB00061,397403.0,Salaried
CUSTB00062,678759.0,Salaried
CUSTB00063,737487.0,Salaried
CUSTB00064,539994.0,Salaried
CUSTB00065,568136.0,Self Employed
CUSTB00066,708060.0,Self Employed
CUSTB00067,404172.0,Self Employed
CUSTB00068,349731.0,Self Employed
CUSTB00069,686976.0,Salaried
CUSTB00070,297190.0,Salaried
CUSTB00071,315962.0,Salaried
CUSTB00072,397437.0,Salaried
CUSTB00073,226160.0,Salaried
CUSTB00074,750696.0,Salaried
CUSTB00075,497692.0,Salaried
CUSTB00076,352330.0,Self Employed
CUSTB00077,646652.0,Salaried
CUSTB00078,410292.0,Salaried
CUSTB00079,476398.0,Self Employed
CUSTB00080,266417.0,Salaried
CUSTB00081,389320.0,Self Employed
CUSTB00082,552105.0,Salaried
CUSTB00083,481748.0,Self Employed
CUSTB00084,740204.0,Self Employed
CUSTB00085,748815.0,Salaried
CUSTB00086,345903.0,Self Employed
CUSTB00087,368578.0,Self Employed
CUSTB00088,285733.0,Self Employed
CUSTB00089,458318.0,Self Employed
CUSTB00090,431025.0,Salaried
CUSTB00091,660644.0,Self Employed
CUSTB00092,502042.0,Self Employed
CUSTB00093,421217.0,Salaried
CUSTB00094,349611.0,Salaried
CUSTB00095,669641.0,Self Employed
CUSTB00096,391969.0,Self Employed
CUSTB00097,529051.0,Salaried
CUSTB00098,465972.0,Salaried
CUSTB00099,541743.0,Self Employed
CUSTB00100,733425.0,Salaried
CUSTB00101,759916.0,Self Employed
CUSTB00102,672034.0,Self Employed
CUSTB00103,753587.0,Salaried
CUSTB00104,771668.0,Self Employed
CUSTB00105,355943.0,Salaried
CUSTB00106,733186.0,Salaried
CUSTB00107,749893.0,Salaried
CUSTB00108,254890.0,Salaried
CUSTB00109,558448.0,Self Employed
CUSTB00110,224035.0,Self Employed
CUSTB00111,594136.0,Self Employed
CUSTB00112,774582.0,Self Employed
CUSTB00113,756947.0,Self Employed
