Customer_ID,APR,Loan_Approval_Month
W000001,38.28,Apr-24
W000002,37.53,Oct-24
W000003,29.08,Nov-24
W000004,30.43,Aug-24
W000005,26.03,Nov-24
W000006,25.32,Jul-24
W000007,25.08,Nov-24
W000008,27.95,Feb-25
W000009,27.79,Jun-24
W000010,30.96,Oct-24
W000011,37.55,Sep-24
W000012,39.22,Apr-24
W000013,35.66,Aug-24
W000014,39.94,Feb-25
W000015,19.71,Mar-25
W000016,35.54,Jul-24
W000017,18.11,Sep-24
W000018,22.89,Dec-24
W000019,38.7,Jul-24
W000020,28.59,May-24
W000021,37.95,Mar-25
W000022,22.67,Nov-24
W000023,37.05,Apr-24
W000024,28.27,Sep-24
W000025,30.81,Jul-24
W000026,20.34,Sep-24
W000027,29.22,Jun-24
W000028,28.66,Dec-24
W000029,35.63,Jun-24
W000030,18.24,Jun-24
W000031,29.09,Aug-24
W000032,19.69,Oct-24
W000033,38.52,Sep-24
W000034,39.99,Oct-24
W000035,25.41,Dec-24
W000036,39.62,Jun-24
W000037,35.29,Aug-24
W000038,32.3,Aug-24
W000039,26.27,Jun-24
W000040,22.3,Feb-25
W000041,29.72,Jan-25
W000042,20.8,Dec-24
W000043,34.65,Dec-24
W000044,24.52,Sep-24
W000045,29.19,Aug-24
W000046,37.02,Jul-24
W000047,33.3,Jul-24
W000048,31.79,Aug-24
W000049,32.93,May-24
W000050,18.67,Nov-24
W000051,34.62,Mar-25
W000052,39.95,Oct-24
W000053,26.32,Oct-24
W000054,38.97,Apr-24
W000055,18.33,Nov-24
W000056,21.21,Feb-25
W000057,35.32,Apr-24
W000058,37.91,Dec-24
W000059,26.93,Sep-24
W000060,33.98,Nov-24
W000061,39.55,Apr-24
W000062,31.68,Sep-24
W000063,19.07,Apr-24
W000064,34.04,Jun-24
W000065,24.82,May-24
W000066,26.44,May-24
W000067,30.79,Jul-24
W000068,18.15,Oct-24
W000069,39.65,Mar-25
W000070,32.39,Jun-24
W000071,34.99,Oct-24
W000072,23.48,Dec-24
W000073,33.41,Jul-24
W000074,28.6,Oct-24
W000075,24.27,Apr-24
W000076,38.88,May-24
W000077,30.62,Nov-24
W000078,18.11,Jun-24
W000079,20.99,Aug-24
W000080,36.41,Nov-24
W000081,18.03,Aug-24
W000082,27.09,Mar-25
W000083,25.38,Apr-24
W000084,31.23,May-24
W000085,33.24,Jan-25
W000086,36.94,Feb-25
W000087,23.87,Jun-24
W000088,26.9,Jan-25
W000089,29.13,May-24
W000090,25.8,Dec-24
W000091,27.56,Aug-24
W000092,21.37,Apr-24
W000093,31.14,Feb-25
W000094,32.97,Feb-25
W000095,25.06,Feb-25
W000096,21.03,Mar-25
W000097,34.92,Nov-24
W000098,35.31,Jun-24
W000099,22.49,Feb-25
W000100,37.56,Dec-24
W000101,30,Dec-24
W000102,33.17,Mar-25
W000103,33.41,Sep-24
W000104,30.53,Jul-24
W000105,32.21,Mar-25
W000106,25.98,Mar-25
W000107,36.35,Dec-24
W000108,34.41,Feb-25
W000109,35.98,Dec-24
W000110,39.05,May-24
W000111,30.45,Jan-25
W000112,37.33,Sep-24
W000113,34.29,Feb-25
W000114,20.07,Jul-24
W000115,26.61,Jun-24
W000116,36.19,Jan-25
W000117,33.36,Sep-24
W000118,41.05,Feb-25
W000119,32.03,Mar-25
W000120,32.33,Nov-24
W000121,39.25,Dec-24
