Customer_ID,Disbursal_Date,Loan_Amount,DPD
CUST000001,2024-05-24,186281,0
CUST000002,2024-04-01,98379,60
CUST000003,2024-04-09,69042,30
CUST000004,2023-05-17,148627,0
CUST000005,2024-06-18,17725,30
CUST000006,2024-07-11,70790,0
CUST000007,2024-01-11,197713,0
CUST000008,2023-06-11,181589,0
CUST000009,2024-05-12,127702,0
CUST000010,2024-07-20,184251,0
CUST000011,2024-10-18,44474,0
CUST000012,2024-01-08,64134,0
CUST000013,2023-07-26,25642,0
CUST000014,2023-06-02,26627,0
CUST000015,2024-09-14,32465,90
CUST000016,2023-08-30,117960,30
CUST000017,2023-08-06,161074,0
CUST000018,2024-12-12,150531,60
CUST000019,2024-12-27,133942,0
CUST000020,2024-01-19,159405,60
CUST000021,2024-03-23,54134,30
CUST000022,2024-11-05,59511,0
CUST000023,2023-06-12,136926,0
CUST000024,2023-06-11,40756,0
CUST000025,2024-11-23,121987,30
CUST000026,2024-11-16,157121,180
CUST000027,2024-09-13,144797,60
CUST000028,2024-06-15,168781,60
CUST000029,2024-06-09,93915,90
CUST000030,2023-05-06,189454,0
CUST000031,2024-01-05,95939,0
CUST000032,2024-03-03,47414,0
CUST000033,2024-10-04,199763,210
CUST000034,2023-12-20,83019,30
CUST000035,2024-09-25,195057,240
CUST000036,2024-12-15,113108,0
CUST000037,2023-10-11,114523,0
CUST000038,2023-12-26,92905,0
CUST000039,2023-11-21,196617,0
CUST000040,2024-10-27,55892,0
CUST000041,2023-07-06,37332,0
CUST000042,2024-06-09,66095,0
CUST000043,2024-07-20,71590,0
CUST000044,2024-12-06,117462,60
CUST000045,2023-05-24,141042,0
CUST000046,2023-05-30,186971,60
CUST000047,2023-06-06,198209,0
CUST000048,2023-08-03,146074,60
CUST000049,2024-11-17,171039,0
CUST000050,2024-05-14,43099,0
CUST000051,2024-03-13,90108,60
CUST000052,2024-04-15,134835,30
CUST000053,2024-10-24,151158,30
CUST000054,2023-05-25,178405,0
CUST000055,2024-10-16,169874,0
CUST000056,2023-11-25,24149,0
CUST000057,2023-09-21,47094,0
CUST000058,2024-07-04,188198,0
CUST000059,2023-12-14,167388,0
CUST000060,2023-07-19,99403,240
CUST000061,2023-08-18,158588,0
CUST000062,2024-09-01,102910,30
CUST000063,2024-02-11,69471,0
CUST000064,2023-09-10,63482,30
CUST000065,2024-11-05,164014,0
CUST000066,2024-01-26,180965,0
CUST000067,2024-10-08,13229,30
CUST000068,2024-05-15,82089,0
CUST000069,2023-09-10,179516,0
CUST000070,2024-08-14,83819,0
CUST000071,2024-08-01,142453,0
CUST000072,2023-12-29,57667,0
CUST000073,2023-07-12,194197,90
CUST000074,2024-12-28,149292,180
CUST000075,2024-11-04,16549,0
CUST000076,2024-04-02,152763,30
CUST000077,2024-05-28,87617,240
CUST000078,2024-06-06,59943,0
CUST000079,2023-06-18,104972,0
CUST000080,2024-02-16,75781,0
CUST000081,2024-11-01,74363,0
CUST000082,2023-11-01,89994,0
CUST000083,2023-09-16,119596,0
CUST000084,2023-05-24,100176,0
CUST000085,2023-07-29,101973,30
CUST000086,2024-07-06,151415,300
CUST000087,2024-09-11,56663,60
CUST000088,2024-05-06,128819,0
CUST000089,2024-06-20,101473,0
CUST000090,2023-07-25,97328,60
CUST000091,2023-11-14,56125,210
CUST000092,2023-07-05,189269,60
CUST000093,2024-10-19,22503,30
CUST000094,2024-08-24,17041,90
CUST000095,2024-05-03,101488,180
CUST000096,2023-07-16,175950,90
CUST000097,2024-04-24,48487,0
CUST000098,2023-08-01,89625,0
CUST000099,2024-02-17,166349,0
CUST000100,2024-03-27,11110,0
CUST000101,2024-02-03,122755,0
CUST000102,2023-04-25,105354,0
CUST000103,2023-09-27,112940,60
CUST000104,2024-09-01,22245,0
CUST000105,2024-09-20,172999,0
CUST000106,2023-08-10,142346,30
CUST000107,2024-10-08,132609,30
CUST000108,2024-04-29,16967,0
CUST000109,2024-04-05,15428,0
CUST000110,2024-11-28,69271,0
CUST000111,2023-07-10,126317,30
CUST000112,2024-03-29,185804,0
CUST000113,2023-05-18,88131,0
CUST000114,2024-04-07,103787,0
CUST000115,2023-05-20,96007,0
CUST000116,2023-06-14,28875,0
CUST000117,2023-05-21,152786,0
CUST000118,2023-04-19,95452,30
CUST000119,2024-09-18,70961,0
CUST000120,2024-12-26,72604,60
CUST000121,2024-07-23,130585,30
CUST000122,2024-02-18,39089,0
CUST000123,2024-12-09,189272,0
CUST000124,2024-12-25,159634,0
CUST000125,2024-04-18,71093,0
CUST000126,2023-04-21,18408,210
CUST000127,2023-11-16,197682,0
CUST000128,2024-12-09,18734,0
CUST000129,2023-08-18,162099,210
CUST000130,2023-07-20,188610,0
CUST000131,2023-12-09,54336,0
CUST000132,2024-12-20,84411,0
CUST000133,2024-08-18,100237,0
CUST000134,2023-06-03,158196,0
CUST000135,2024-10-09,189106,30
CUST000136,2024-05-18,49833,0
CUST000137,2024-09-05,156013,0
CUST000138,2024-10-21,24257,60
CUST000139,2023-07-31,18571,0
CUST000140,2024-12-06,57415,30
CUST000141,2024-01-12,42521,60
CUST000142,2023-08-08,148765,180
CUST000143,2024-06-26,78274,90
CUST000144,2024-09-01,130761,0
CUST000145,2023-07-07,110672,60
CUST000146,2024-07-25,180205,0
CUST000147,2024-04-30,20843,0
CUST000148,2024-11-18,164050,0
CUST000149,2024-01-12,102145,90
CUST000150,2023-05-08,120717,30
CUST000151,2023-04-07,122258,0
CUST000152,2023-08-20,152446,0
CUST000153,2023-04-24,132699,0
CUST000154,2024-12-12,111954,0
CUST000155,2023-11-07,59558,60
CUST000156,2024-08-12,91688,0
CUST000157,2024-08-18,92577,60
CUST000158,2024-02-03,126683,0
CUST000159,2023-11-27,44530,0
CUST000160,2023-08-26,28032,0
CUST000161,2024-06-09,102217,0
CUST000162,2023-08-29,44956,60
CUST000163,2023-10-22,197186,0
CUST000164,2024-11-17,115875,0
CUST000165,2024-12-01,188814,0
CUST000166,2024-12-10,164784,90
CUST000167,2024-08-26,20318,360
CUST000168,2023-10-15,132347,0
CUST000169,2024-04-26,171013,0
CUST000170,2023-07-08,167148,0
CUST000171,2024-01-22,192823,60
CUST000172,2024-11-01,76353,30
CUST000173,2024-07-04,24647,0
CUST000174,2023-11-16,172298,30
CUST000175,2024-08-24,140914,30
CUST000176,2024-11-19,159372,30
CUST000177,2024-06-11,91063,90
CUST000178,2024-10-25,170603,0
CUST000179,2024-11-13,134729,60
CUST000180,2024-01-29,188454,0
CUST000181,2024-07-04,121762,0
CUST000182,2023-09-26,191432,0
CUST000183,2023-04-27,64465,60
CUST000184,2024-04-05,195627,0
CUST000185,2023-07-25,45630,0
CUST000186,2023-09-26,53345,90
CUST000187,2023-05-10,50320,0
CUST000188,2023-05-08,59999,0
CUST000189,2023-04-22,138365,0
CUST000190,2023-11-22,105427,0
CUST000191,2024-11-28,21165,0
CUST000192,2024-09-30,87241,0
CUST000193,2024-10-21,133056,0
CUST000194,2024-11-02,95954,0
CUST000195,2023-11-12,39549,30
CUST000196,2024-09-28,95515,60
CUST000197,2024-12-17,173979,210
CUST000198,2024-02-16,99081,0
CUST000199,2024-05-09,93171,0
CUST000200,2023-08-27,166437,0
CUST000201,2024-09-05,82746,30
CUST000202,2024-05-31,191039,0
CUST000203,2024-07-16,61763,0
CUST000204,2024-03-10,140533,90
CUST000205,2023-10-15,96501,60
CUST000206,2024-01-10,104836,0
CUST000207,2024-07-03,115849,0
CUST000208,2024-10-06,103934,0
