Customer_ID,Loan_Amount,Disbursal_Date,Write_Off_Date
CUST000026,157121,2024-11-16,2025-10-07
CUST000033,199763,2024-10-04,2025-10-01
CUST000035,195057,2024-09-25,2025-09-18
CUST000060,99403,2023-07-19,2024-12-24
CUST000074,149292,2024-12-28,2025-11-11
CUST000077,87617,2024-05-28,2025-08-21
CUST000086,151415,2024-07-06,2025-10-25
CUST000091,56125,2023-11-14,2025-02-02
CUST000095,101488,2024-05-03,2025-11-10
CUST000126,18408,2023-04-21,2024-05-04
CUST000129,162099,2023-08-18,2024-08-20
CUST000142,148765,2023-08-08,2025-01-15
CUST000167,20318,2024-08-26,2026-01-17
CUST000197,173979,2024-12-17,2026-05-15
CUST000210,196965,2024-05-18,2025-10-29
CUST000224,48189,2024-06-17,2025-12-08
CUST000257,117813,2023-07-04,2024-05-20
CUST000274,148471,2023-12-07,2025-02-12
CUST000290,144622,2023-11-26,2024-09-21
CUST000305,114139,2024-12-22,2026-07-04
CUST000317,189946,2024-02-06,2025-09-21
CUST000345,27880,2023-04-02,2024-04-12
CUST000355,113780,2023-04-01,2024-08-17
CUST000365,141610,2024-05-30,2025-08-11
CUST000375,143027,2023-07-04,2025-02-04
CUST000388,34885,2023-11-13,2025-03-15
CUST000389,155550,2023-11-04,2025-06-04
CUST000402,83825,2024-06-26,2025-06-09
CUST000404,134566,2024-02-28,2025-08-06
CUST000408,198709,2024-04-12,2025-04-19
CUST000419,12285,2024-02-19,2025-01-04
CUST000435,182811,2024-11-06,2025-09-14
CUST000436,55205,2023-08-29,2025-01-06
CUST000438,36652,2023-08-20,2024-11-15
CUST000445,197807,2024-05-27,2025-09-16
CUST000459,53598,2024-06-15,2025-04-22
CUST000460,125002,2024-04-18,2025-05-24
CUST000464,83760,2024-02-24,2025-06-01
CUST000466,46114,2023-10-31,2025-03-15
CUST000486,59165,2024-03-11,2025-09-07
CUST000491,196588,2024-05-12,2025-07-27
CUST000497,167470,2023-09-14,2024-07-30
CUST000512,180111,2024-11-24,2026-06-06
CUST000524,74669,2024-03-07,2025-09-29
CUST000530,140104,2023-09-14,2024-10-17
CUST000537,89354,2024-05-11,2025-03-07
CUST000538,47653,2024-03-31,2025-03-13
CUST000552,100727,2023-05-08,2024-05-17
CUST000561,175952,2023-12-07,2024-12-17
CUST000572,126862,2024-08-19,2026-02-18
CUST000581,132156,2024-10-12,2025-09-05
CUST000597,86087,2024-09-08,2025-09-05
CUST000614,82208,2024-03-27,2025-04-05
CUST000624,46573,2024-07-13,2026-02-08
CUST000627,22328,2024-05-10,2025-07-10
CUST000633,14197,2023-10-04,2025-01-25
CUST000645,193580,2024-04-08,2025-09-07
CUST000653,195015,2024-03-21,2025-02-04
CUST000678,85143,2023-06-07,2024-10-31
CUST000688,194214,2024-10-28,2025-11-10
CUST000695,148479,2024-10-30,2025-10-22
CUST000716,61512,2023-05-01,2024-10-06
CUST000738,87173,2024-01-03,2025-05-31
CUST000741,182546,2023-09-29,2025-02-06
CUST000774,167401,2024-12-13,2026-07-04
CUST000776,187461,2024-08-17,2025-12-19
CUST000792,23182,2024-07-14,2025-09-15
CUST000809,199782,2023-08-15,2024-07-06
CUST000812,58701,2024-12-22,2025-11-16
CUST000818,160709,2023-06-27,2024-10-06
CUST000831,134757,2023-04-27,2024-03-01
CUST000834,36436,2023-05-15,2024-10-11
CUST000842,146092,2024-11-13,2025-12-18
CUST000850,90610,2024-03-07,2025-08-02
CUST000855,156394,2024-01-08,2025-01-24
CUST000877,155701,2023-10-19,2025-03-06
CUST000881,160054,2024-08-29,2026-02-14
CUST000883,36338,2024-05-19,2025-11-02
CUST000907,57235,2023-09-09,2024-09-25
CUST000909,116723,2023-08-10,2024-12-16
CUST000911,127682,2024-07-26,2025-11-09
CUST000915,67238,2023-07-14,2024-06-21
CUST000917,121835,2024-08-08,2025-12-15
CUST000925,158619,2024-07-21,2025-06-10
CUST000926,49462,2023-06-02,2024-08-21
CUST000928,26414,2024-05-10,2025-06-10
CUST000948,132200,2024-12-19,2026-02-12
CUST000960,193255,2024-11-04,2026-05-16
CUST000968,56953,2024-08-12,2025-09-11
CUST000974,76887,2024-04-01,2025-02-02
CUST000983,78141,2024-02-23,2025-05-09
CUST000984,131232,2023-08-25,2024-07-08
CUST001002,152934,2023-05-20,2024-04-02
CUST001005,26157,2024-10-19,2025-10-19
CUST001024,98981,2023-11-23,2025-03-09
CUST001042,148866,2023-12-17,2025-03-04
CUST001044,115372,2023-04-24,2024-10-13
CUST001053,182866,2024-06-06,2025-07-22
CUST001071,44159,2023-12-23,2024-12-11
CUST001073,22015,2024-07-16,2026-02-24
CUST001109,174106,2023-10-18,2024-10-08
CUST001154,119023,2023-05-11,2024-08-02
CUST001165,171585,2024-05-12,2025-07-06
